영화이름,장르,줄거리
마크맨,액션,"최고의 사격수였다가 은퇴한 군인 ‘짐’(리암 니슨)은 애리조나 국경 지역을 지키며 조용한 말년을 보내고 있다. 어느 날, 우연히 멕시코 마약 카르텔에 쫓기는 모자를 구해주지만 무자비한 놈들의 공격에 소년의 어머니가 숨을 거둔다. 소년을 시카고에 있는 친척에게 데려가 달라는 그녀의 마지막 부탁을 외면할 수 없었던 ‘짐’은 길을 나서고 마약 카르텔의 표적이 되어 숨막히는 추격전을 벌이는데…"
6 언더그라운드,액션,존재하지 않았던 것처럼 개인의 모든 기록을 지우고 스스로 ‘고스트’가 된 여섯 명의 정예요원이 펼치는 지상 최대의 작전을 담은 액션 블록버스터
아웃사이드 더 와이어,액션,"가까운 미래, 치열한 접전 지역. 드론 조종사가 원치 않게 이곳에 파견된다. 그의 지휘관은 기밀 속 존재인 사이보그. 둘은 함께 핵 공격을 막는 위험한 임무에 뛰어든다."
라이더스 오브 저스티스,액션,"가족과 떨어진 채 지내던 현직 군인 마르쿠스(매즈 미켈슨)는 열차 사고로 갑작스럽게 아내를 잃고 실의에 빠져있던 중, 아내의 죽음에 얽힌 사고가 계획된 범죄였음을 알게 된다. 분노가 폭발한 마르쿠스는 범인들을 뒤쫓아 목숨을 건 추격전을 시작하고 자신만의 잔혹한 정의로 그들을 심판하기로 하는데…"
존윅 3,액션,"전설이라 불리던 킬러 ‘존 윅’ 은퇴한 그를 암살자의 세계로 누군가가 끌어당기고, 더 이상 잃을 것 없는 그는 복수와 동시에 함정에 빠지게 된다. 킬러에서 암살자의 표적이 된 그, 오직 평화를 위한 전쟁을 다시 한번 시작하게 된다. 전설의 시작, 역대 최강 액션을 만나라!"
신과함께 인과연,판타지,"천 년 동안 48명의 망자를 환생시킨 저승 삼차사, 한 명만 더 환생시키면 그들도 새로운 삶을 얻을 수 있다. 하지만 강림(하정우)은 원귀였던 수홍(김동욱)을 자신들의 마지막 귀인으로 정하는 이해할 수 없는 선택을 한다. 저승법 상 원귀는 소멸되어야 마땅하나 염라대왕(이정재)은 저승 삼차사에게 새로운 조건을 내걸며 강림의 제안을 수락한다. 염라의 조건은 성주신(마동석)이 버티고 있어 저승 차사들이 가는 족족 실패하는 허춘삼 노인을 수홍의 재판이 끝나기 전까지 저승으로 데려오는 것. 허춘삼을 데리러 이승으로 내려간 해원맥(주지훈)과 덕춘(김향기), 하지만 성주신의 막강한 힘 앞에 속수무책으로 당하기만 하던 중 우연히 그가 천 년 전 과거에 해원맥과 덕춘을 저승으로 데려간 저승 차사였다는 사실을 알게 된다. 스스로도 기억 못 하는 과거에 대한 호기심으로 해원맥과 덕춘은 성주신과 거래를 시작하는데… 이승과 저승, 현재와 과거를 오가는 천 년의 비밀이 밝혀진다!"
경계선,판타지,"출입국 세관 직원인 ‘티나’는 후각으로 감정을 읽을 수 있는 기묘한 능력과 남들과는 조금 다른 외모로 세상과 쉽게 어울리지 못한다. 그러던 어느 날 그녀 앞에 수상한 짐을 가득 든 남자 ‘보레’가 나타나고, 그는 ‘티나’ 자신도 몰랐던 그녀의 특별한 모습을 일깨워주기 시작하는데…"
7번째 아들,판타지,"100년만에 전설 속 붉은 달이 뜨고 대마녀 멀킨(줄리안 무어)과 어둠의 존재들이 되살아나면서 세상은 멸망의 위기에 빠진다. 한편, ‘7번째 아들의 7번째 아들’ 톰(벤 반스)은 매일 밤 꿈에 나타나던 남자 그레고리(제프 브리지스)와 만나게 되고 그는 톰만이 세상을 구할 유일한 희망이라며 자신과 함께 절대 악과 맞서 싸워야 한다고 하는데…"
미스 페레그린과 이상한 아이들의 집,판타지,"할아버지의 죽음의 단서를 쫒던 ‘제이크’ 는 시간의 문을 통과해 놀라운 비밀과 마주한다. 시간을 조정하는 능력을 가진 ‘미스 페레그린’ 과 그녀의 보호아래 무한 반복되는 하루를 사는 ‘특별한 능력의 아이들’, 그리고 그들을 사냥하는 보이지 않는 무서운 적 ‘할로게스트’ 미스 페레그린과 제이크를 비롯한 아이들은 살아남기 위해 ‘할로게스트’ 에 맞서야 한다. 시간과 공간을 넘나들며 펼쳐지는 이들의 대결이 팀버튼의 마법같은 상상력으로 펼쳐진다."
테일 오브 테일즈,판타지,"왕자를 낳기 위해 괴물의 심장을 먹은 여왕 젊음의 비밀을 간직한 아름다운 여인 괴물과 결혼해야 하는 공주 황홀, 비밀, 매혹 비밀스러운 숲의 판타지 세계가 열린다"
구스범스,판타지,"할로윈이 다가오고 있던 어느 날, 단짝 ‘소니’와 ‘샘’은 으스스한 분위기의 버려진 집을 발견한다. 그곳에서 자물쇠로 잠겨있는 [구스범스] 책을 찾아낸 ‘소니’와 ‘샘’은 자물쇠를 열고, 심술궂은 인형 ‘슬래피’를 깨우고야 만다. 몬스터 군단의 리더 '슬래피’는 책 속에 갇혀있던 몬스터들을 하나, 둘씩 불러들이고 평온했던 마을은 어느새 위험에 빠지기 시작한다. 다시 깨어난 몬스터들의 습격으로 엉망진창이 된 할로윈, 위험에 빠진 가족과 마을을 구할 수 있을까?"
퍼시잭슨과 괴물의 바다,판타지,"신과 인간 사이에서 특별한 능력을 가지고 태어난 ‘데미갓’들이 모여 훈련 받는 ‘데미갓 캠프’. 어느 날, 사악한 신들의 아버지 크로노스가 봉인을 풀고 부활해 신과 인간 세상을 파멸시키려 한다. 이로 인해 ‘데미갓 캠프’는 위험에 빠지게 되고, 이에 퍼시는 아나베스, 그로버, 타이슨과 함께 신과 인간 세상을 구원하기 위해 ‘괴물의 바다’에 숨겨진 마법의 황금 양피를 찾기 위한 위험천만한 모험을 떠난다."
이상한 나라의 엘리스,판타지,"더 이상 소녀가 아닌 19살의 앨리스(미아 와시코우스카 분)가 어쩌다 본의 아니게 또다시 들어간 이상한 나라는 예전에 겪었던 그 이상한 나라가 아니다. 십여년 전 홀연히 앨리스가 사라진 후 이상한 나라는 독재자 붉은 여왕(헬레나 본햄 카터)이 그녀 특유의 공포 정치로 통치하고 있었던 것. 물론 하얀 토끼와 트위들디와 트위들덤 쌍둥이, 겨울잠 쥐, 애벌레와 음흉하게 웃어대는 체셔 고양이 그리고 미친 모자장수(조니 뎁 분)는 붉은 여왕의 공포 정치 속에서도 정신없는 오후의 티타임을 즐기고 있다. 마치 어제 헤어진 친구를 오늘 다시 만난 듯 앨리스의 귀환(?)을 대환영하는 미친 모자장수와 그 친구들. 손가락만큼 작아져버린 앨리스는 모자장수의 정신없는 환대와 붉은 여왕의 공포 정치를 뚫고 이번에도 무사히 집으로 돌아갈 수 있을까?!"
황금나침반,판타지,"‘살아 있는 모든 존재를 멸망으로 이끌 전쟁이 일어날 것’이라는 예언의 중심에 있는 ‘황금나침반’. 각각의 서로 다른 세계 속에서 ‘황금나침반’으로 절대권력을 차지하기 위해 벌어지는 천상과 지상의 거대한 전쟁은 모든 세계를 혼돈에 휩싸이게 한다. 학자이자 탐험가인 아스리엘 경은 또 다른 세계로 갈 수 있게 해주는 미지의 물질 ‘더스트’를 노스폴에서 발견하게 되고, 이를 이용해 신세계를 찾아볼 것을 제안한다. 하지만 또 다른 세계의 존재를 부정하던 학자들 사이에서는 일대 파란이 일어나고 그의 연구를 막으려 한다. 한편, 아스리엘 경의 조카 라라는 진실만을 알려준다는 ‘황금나침반’을 얻게 되고 이에 얽힌 놀라운 예언의 진실을 모른 채, 노스폴로의 여정을 떠난다. 하지만 함께 노스폴로의 동행을 제안했던 콜터 부인이 황금나침반을 노리고 있음을 알게 된 라라는 목숨을 건 탈출을 감행하면서 점차 황금나침반의 비밀의 실체에 접근하는데…… 진실을 말해주는 황금나침반을 지닌 채, 예언 속 전쟁을 막기 위한 험난한 여정에 오른 라라. 헥스족과 아머 베어족 등의 도움을 받아 힘을 모으지만 이를 저지하려는 어둠의 세력이 커지면서 예언 속의 거대한 전쟁, 그 서막이 열린다."
스파이더위크가의 비밀,판타지,"뉴욕을 떠나 쓰러져가는 ‘아서 스파이더위크’의 저택으로 이사온 그레이스가의 삼남매. 쌍둥이 형 자레드(프레디 하이모어)는 이상한 기운이 흘러 나오는 저택 안에서 절대 열어보지 말라는 경고와 함께 단단히 봉인되어 있는 비밀의 책을 발견한다. 호기심을 이기지 못하고 책장을 펼친 자레드... 그날부터 존재조차 몰랐던 무언가가 삼남매의 눈에 보이기 시작하고, 정체를 알 수 없는 그들로부터 끊임없는 공격을 받게 되는데...! 과연 삼남매는 스파이더위크가의 비밀을 풀고 위험에서 살아남을 수 있을까?"
호빗: 다섯 군대 전투,판타지,"빌보 배긴스, 참나무 방패 소린, 난쟁이 족이 떠난 거대한 여정 끝, 난쟁이 족은 원래 자신들의 터전이던 에레보르에 있는 엄청난 보물을 되찾지만 이는 무시무시한 용 스마우그가 호수마을의 무기력한 주민들을 공격하게 되는 결과를 낳는다. 산 아래의 왕 참나무 방패 소린은 탐욕에 서서히 눈이 멀어 우정과 명예를 저버린 채 왕의 보물 아르켄스톤을 찾는다. 소린이 이성을 되찾도록 설득하는데 실패한 빌보는 훨씬 험난한 일이 펼쳐질 줄 모른 채 절박하고 위험한 결정을 내린다. 오래된 적이 중간계로 돌아온 것. 암흑의 군주 사우론은 오크 군대를 보내 외로운 산에 기습 공격을 감행한다. 고조된 긴장감 속에 어둠이 깔리자 난쟁이, 엘프, 인간은 단합할 것인지 말살될 것인지 택해야 한다. 마침내 다섯 군대의 전투가 시작되고 빌보는 본인과 친구들의 목숨을 걸고 싸워야만 하는데…"
숲속으로,판타지,"간절히 아이만을 원하며 평범한 삶을 살아가고 있는 ‘베이커 부부’ ‘마녀’는 ‘베이커 부부’에게 저주를 풀 수 있는 유일한 방법을 알려준다. ‘베이커 부부’는 피처럼 붉은 망토, 우유처럼 하얀 소, 옥수수처럼 노란 머리카락 그리고 순금처럼 빛나는 구두를 100년 만에 찾아온 푸른 달이 뜨기 전까지 찾아야만 한다. 그들에게 주어진 시간은 단 3일 ‘마녀’의 위험한 거래를 받아들인 ‘베이커 부부’는 숲 속으로 위험한 여정을 떠나게 되는데… 신비롭고 위험한 숲 속에서 황홀한 여정이 펼쳐진다!"
캐스피언 왕자,판타지,"나니아에서 현실의 세계로 돌아온 지 1년 후, 페벤시 남매들은 마법의 힘에 의해 다시 나니아의 세계로 들어간다. 그러나 그곳은 이미 폐허로 변해 있었다. 나니아 시간으로 벌써 1,300년이란 세월이 흘렀던 것. 그들이 없는 동안 나니아는 황금기의 종말을 고하고, 인간인 텔마린 족에게 점령되어 무자비한 미라즈 왕의 통치를 받고 있었다. 페벤시 남매들을 나니아로 불러낸 건 바로 텔마린족의 진정한 왕위 계승자인 캐스피언 왕자였다. 삼촌 미라즈에게 왕위를 뺏기고 목숨의 위협을 느낀 그는 나니아인들이 숨어 사는 숲 속으로 피신, 그곳에서 페벤시 남매와 만난다. 부왕을 죽인 삼촌을 물리치고 자신의 왕위를 찾게 도와주면 나니아인들의 터전을 돌려 주겠다는 약속을 하는 캐스피언 왕자. 이에 네 남매와 나니아인들은 그를 도와 미라즈의 군대와 전쟁을 벌이게 되는데…"
판의미로,판타지,"1944년 스페인, 내전은 끝났지만 숲으로 숨은 시민군은 파시스트 정권에 계속해서 저항했고 그들을 진압하기 위해 정부군이 곳곳에 배치된다. ‘오필리아’는 만삭의 엄마 ‘카르멘’과 함께 새아버지 ‘비달’ 대위가 있는 숲속 기지로 거처를 옮긴다. 정부군 소속으로 냉정하고 무서운 비달 대위를 비롯해 모든 것이 낯설어 두려움을 느끼던 오필리아는 어느 날 숲속에서 숨겨진 미로를 발견한다. 그리고 그곳에서 자신을 “산이고 숲이자 땅”이라 소개하는 기괴한 모습의 요정 ‘판’과 만난다. 오필리아를 반갑게 맞이한 판은, 그녀가 지하 왕국의 공주 ‘모안나’이며 보름달이 뜨기 전까지 세 가지 임무를 끝내면 돌아갈 수 있다고 알려주면서 미래를 볼 수 있는 “선택의 책”을 건넨다. 오필리아는 전쟁보다 더 무서운 현실 속에서 인간 세계를 떠나 지하 왕국으로 돌아가기로 결심하게 되는데… 용기, 인내, 그리고 마지막 임무… 판의 미로가 다시 열리고, 환상과 현실의 경계가 무너진다!"
스노우 화이트 앤 더 헌츠맨,판타지,"절대악의 힘으로 어둠의 세계를 건설한 ‘이블 퀸’(샤를리즈 테론), 영원한 지배자가 되기 위해서는 자신을 능가할 운명을 지닌 ‘스노우 화이트’(크리스틴 스튜어트)를 없애야 한다는 예언을 받는다. 저주가 걸린 어둠의 숲으로 사라진 ‘스노우 화이트’를 죽이기 위해 왕비는 뛰어난 전사 ‘헌츠맨’(크리스 햄스워스)을 고용한다. 하지만 어둠에 지배를 받고 있는 세계를 구원할 유일한 존재가 ‘스노우 화이트’라는 것을 알게 된 ‘헌츠맨’은 ‘이블 퀸’을 배신하고 ‘스노우 화이트’의 편에 선다. ‘이블 퀸’에게 맞서 세계를 구할 결심을 한 ‘스노우 화이트’는 최강의 전사 ‘헌츠맨’과 강인한 드워프 족 그리고 신비한 능력을 지닌 정령들의 도움을 받아 빛의 군대를 만들고 ‘이블 퀸’에게 빼앗긴 세계를 되찾기 위한 거대한 전쟁을 시작하는데…"
이클립스,판타지,불멸의 사랑을 위해 뱀파이어가 되기로 결심한 벨라. 제이콥은 벨라의 선택을 가로막으며 자신을택하도록 종용하고 이로 인해 에드워드와의 갈등은 더욱 심해진다. 한편 시애틀에서 의문의 연쇄살인사건이 일어나고 에드워드는 곧 이 사건의 배후를 알게 되지만 벨라에게는 비밀로 하는데… 신생 뱀파이어 군대. “뱀파이어가 된 것을 환영한다” 에드워드와 벨라가 소멸한 연인의 복수를 위해 빅토리아가 새롭게 창조한 뱀파이어 집단. 이들은 심한 갈증으로 인해 그 어떤 뱀파이어보다도 강하고 잔인하다. 그 중에서도 리더이자 최고의 초능력을 가진 라일리는 컬렌-퀼렛 연합군에게 가장 위협적인 존재. 컬렌가-퀼렛족 연합군. “목숨을 건 전쟁이 될 거다” 뱀파이어 에드워드의 컬렌가와 늑대인간 제이콥의 퀼렛족은 오래 전부터 서로를 노려온 적대관계. 벨라로 인해 더욱 갈등이 고조되지만 신생 뱀파이어들의 공격을 막기 위해 두 종족은 단호한 결단으로 연합군 결성을 이룬다. 볼투리 가. “우린 두 번의 기회는 주지 않아”뱀파이어 최고의 권력집단. 타인의 기억과 생각을 모두 읽고 고통을 주는 능력으로 모든 뱀파이어들이 가장 두려워하는 종족. 벨라를 뱀파이어로 만들겠다는 에드워드의 약속이 지켜지지 않자 컬렌가를 찾아온다.
잉크하트,판타지,"소리 내어 읽으면 책 속의 인물을 현실 세계로 불러낼 수 있는 신비한 능력을 가진 실버통 모. 그는 9년 전, 우연히 [잉크하트] 책을 읽고, 그 속에서 어둠의 제왕 카프리콘과 불을 다스리는 마법사 더스트핑거를 현실로 불러내고 만다. 하지만 반대로 모의 아내 리사는 책 속으로 빨려들어가게 된다. [잉크하트]를 가지고 사라진 카프리콘 군단. 모는 딸 메기와 함께 아내를 구하기 위해[잉크하트]를 찾던 중, 카프리콘 군단이 현실 세계를 장악하기 위해 책 속에서 절대악 섀도우를 불러내려는 음모를 알게 되는데… 이제, 세상을 지키려는 실버통 군단과 세상을 지배하려는 카프리콘 군단의 대격돌이 시작된다!"
반지의 제왕,판타지,"모든 힘을 지배할 악의 군주 ‘사우론’의 절대반지가 깨어나고 악의 세력이 세상을 지배해가며 중간계는 대혼란에 처한다. 호빗 ‘프로도’와 그의 친구들, 엘프 ‘레골라스’, 인간 전사 ‘아라곤’과 ‘보로미르’ 드워프 ‘김리’ 그리고 마법사 ‘간달프’로 구성된 반지원정대는 평화를 지키기 위해 절대반지를 파괴할 유일한 방법인 반지가 만들어진 모르도르를 향해 목숨을 건 여정을 떠난다. 한편, 점점 세력을 넓혀온 사우론과의 피할 수 없는 전쟁을 앞둔 반지원정대는 드디어 거대한 최후의 전쟁을 시작하는데..."
나니아 연대기: 새벽 출정호의 항해,판타지,"나니아의 화려한 귀환! 3D로 완성된 스펙터클 어드벤처가 시작된다! 페번시가 남매 중 에드먼드와 루시, 그리고 사촌 유스티스는 어느 날, 방에 걸려 있는 그림 속 바다에서 배가 나타나 조금씩 다가오더니 한 순간, 물이 넘쳐 나면서 나니아의 세계로 빨려 들어간다. 실종된 7명의 영주들을 찾아 ‘론 아일랜드’로 가던 캐스피언 일행과 만나 새벽 출정호에 승선, 새로운 모험 길에 오르게 된다. 가장 먼저 도착한 ‘론 아일랜드’. 그곳의 영주인 베른에게서 언제부턴가 정체를 알 수 없는 안개가 피어 오르고, 그 안개 속으로 끌려들어간 배와 사람들은 영영 돌아오지 않는다는 이야기와 함께 아슬란에게서 받은 7개의 마법의 칼을 소지한 7명의 영주가 흩어지면서 힘이 약해져 악의 안개가 피어 오르기 시작했다는 사실을 알게 된다. 위험에 처한 나니아의 운명은 이제 이들 손에 맡겨지고, 5개의 신비한 섬에서 만나는 상상 속 생물들, 사악한 적들과 맞서게 되는데…"
손님,판타지,"1950년대, 지도에도 없는 산골 마을, 아무도 모르게 걸어둔 문을 열고 손님이 왔다 1950년대의 어느 날, 떠돌이 악사 우룡(류승룡)과 영남(구승현) 부자는 서울로 가던 길에 우연히 지도에도 나오지 않는 산골 마을에 들어선다. 시끄러운 바깥세상과 달리 촌장(이성민)의 강력한 지도 아래 모든 게 평화롭고 풍족한 마을이지만 단 하나, 시도 때도 없이 출몰하는 쥐떼들이 골칫거리다. 마을의 골칫거리인 쥐떼를 쫓아주면 목숨보다 소중한 아들, 영남이의 폐병을 고칠 목돈을 준다는 약속을 믿고 우룡은 피리를 불어 쥐떼를 쫓아낸다. 하지만 그 날 이후, 마을의 비밀이 하나씩 드러나기 시작하면서 우룡과 마을 사람들은 설명할 수 없는 이상한 사건에 휘말리게 되는데... 부르지 않은 손님이 온 그 날 이후, 너희들은 어떻게 될까?"
다크 앤드 위키드,공포,서로 왕래 없이 소원한 남매 루이스와 마이클은 오랫동안 병석에 누운 아버지를 보러 일주일간 잠시 시골 농장으로 돌아온다. 아버지는 여전히 의식이 없고 엄마는 뭔가에 사로잡힌 듯 불안해 보인다. 익숙한 공간이지만 낯선 위화감. 집 안 가득 도사린 어둡고 사악한 기운은 점점 그들을 무섭게 옥죄기 시작하는데…
더 그레이트 샤크,공포,행복한 휴가를 떠난 5명의 여행객. 그러나 우연히 상어에 의해 훼손된 시체를 발견하고 그들의 여행은 순식간에 공포에 휩싸인다. 높아지는 불안감 속에 급히 수상 비행기에 오르지만 굶주린 상어 떼의 습격으로 망망대해에 조난 당하고 만다. 가까스로 구명보트에 올라탔지만 그들 주위를 맴도는 식인 상어 떼로 인해 점점 두려움이 극한으로 치닫는데… 극한의 공포를 견뎌라!
곤지암,공포,"1979년 환자 42명의 집단 자살과 병원장의 실종 이후, 섬뜩한 괴담으로 둘러싸인 곤지암 정신병원으로 공포체험을 떠난 7명의 멤버들 원장실, 집단 치료실, 실험실, 열리지 않는 402호… 괴담의 실체를 담아내기 위해 병원 내부를 촬영하기 시작하던 멤버들에게 상상도 못한 기이하고 공포스러운 일들이 실제로 벌어지기 시작 하는데… 가지 말라는 곳에는 반드시 이유가 있다. 소름 끼치는 ‘곤지암 정신병원’ 의 실체를 체험하라!"
기담,공포,"경성 최고의 의료기술이 갖춰진 ‘안생병원’, 동경 유학 중이던 엘리트 의사 부부 ‘인영’(김보경)과 ‘동원’(김태우)이 부임하고 병원 원장 딸과의 정략결혼을 앞둔 의대 실습생 ‘정남’(진구)은 유년 시절 사고로 다리를 저는 천재 의사 ‘수인’(이동규)과 함께 경성에서의 생활을 시작한다. 그러나 저마다 비밀스런 사랑에 빠져든 이들은 점점 지독한 파멸의 공포와 마주하게 되는데… 1942년 경성 안생병원 우리는 죽은 자와 사랑을 시작했다"
